,nome,estado
483254,Gladson Cameli,AC
959309,Gladson Cameli,AC
1220084,Petecão,AC
1084667,Jorge Viana,AC
620513,Jorge Viana,AC
318316,Nulo,AC
709792,Gladson Cameli,AC
371365,Gladson Cameli,AC
1072389,Gladson Cameli,AC
946371,Gladson Cameli,AC
355813,Gladson Cameli,AC
1370430,Jorge Viana,AC
1015311,Gladson Cameli,AC
1220327,Gladson Cameli,AC
709248,Gladson Cameli,AC
307675,Gladson Cameli,AC
306364,Gladson Cameli,AC
499192,Gladson Cameli,AC
717422,Jorge Viana,AC
850229,Gladson Cameli,AC
1100013,Mara Rocha,AC
406994,Gladson Cameli,AC
49085,Gladson Cameli,AC
960119,Gladson Cameli,AC
928843,Gladson Cameli,AC
987102,Gladson Cameli,AC
507823,Mara Rocha,AC
691093,Mara Rocha,AC
629749,Mara Rocha,AC
360718,Jorge Viana,AC
1162455,Marcio Bittar,AC
408165,Petecão,AC
462582,Gladson Cameli,AC
158990,Gladson Cameli,AC
1201608,Gladson Cameli,AC
587781,Mara Rocha,AC
392382,Jorge Viana,AC
1183982,Gladson Cameli,AC
973794,Petecão,AC
1034855,Jorge Viana,AC
649214,Gladson Cameli,AC
691313,Gladson Cameli,AC
1307867,Gladson Cameli,AC
1104495,Gladson Cameli,AC
872511,Gladson Cameli,AC
72400,Jorge Viana,AC
1314070,Jorge Viana,AC
994223,Nulo,AC
891526,Gladson Cameli,AC
216006,Jorge Viana,AC
374805,Nulo,AC
1057379,Gladson Cameli,AC
105918,Gladson Cameli,AC
144704,Gladson Cameli,AC
172705,Petecão,AC
931957,Gladson Cameli,AC
1190969,Gladson Cameli,AC
1117761,Gladson Cameli,AC
188531,Jorge Viana,AC
159878,Jorge Viana,AC
492203,Gladson Cameli,AC
610853,Jorge Viana,AC
952094,Gladson Cameli,AC
1150913,Jorge Viana,AC
968203,Gladson Cameli,AC
31751,Gladson Cameli,AC
999116,Jorge Viana,AC
104252,Gladson Cameli,AC
1079940,Gladson Cameli,AC
727261,Gladson Cameli,AC
763475,Jorge Viana,AC
768026,Nulo,AC
1331868,Jorge Viana,AC
501177,Gladson Cameli,AC
718623,Jorge Viana,AC
95889,Gladson Cameli,AC
841997,Petecão,AC
970914,Gladson Cameli,AC
29997,Gladson Cameli,AC
750281,Jorge Viana,AC
204693,Gladson Cameli,AC
71286,Jorge Viana,AC
840518,Gladson Cameli,AC
756970,Gladson Cameli,AC
953157,Mara Rocha,AC
1075541,Gladson Cameli,AC
997958,Petecão,AC
1009959,Gladson Cameli,AC
468456,Mara Rocha,AC
72768,Gladson Cameli,AC
807197,Jorge Viana,AC
640213,Gladson Cameli,AC
306039,Mara Rocha,AC
701944,Jorge Viana,AC
1238074,Jorge Viana,AC
1092115,Gladson Cameli,AC
505367,Jorge Viana,AC
207273,Gladson Cameli,AC
555916,Gladson Cameli,AC
318789,Jorge Viana,AC
955288,Gladson Cameli,AC
949736,Gladson Cameli,AC
265536,Mara Rocha,AC
1240700,Jorge Viana,AC
320067,Gladson Cameli,AC
127608,Petecão,AC
483415,Jorge Viana,AC
279993,Jorge Viana,AC
1365266,Mara Rocha,AC
564136,Gladson Cameli,AC
963216,Jorge Viana,AC
976221,Jorge Viana,AC
854155,Gladson Cameli,AC
1024708,Jorge Viana,AC
1104887,Gladson Cameli,AC
808097,Jorge Viana,AC
326308,Petecão,AC
314600,Jorge Viana,AC
987440,Gladson Cameli,AC
1169350,Jorge Viana,AC
399202,Jorge Viana,AC
241474,Gladson Cameli,AC
1217374,Gladson Cameli,AC
1116602,Jorge Viana,AC
922451,Gladson Cameli,AC
1029845,Petecão,AC
254712,Gladson Cameli,AC
1007244,Gladson Cameli,AC
163292,Mara Rocha,AC
1063592,Jorge Viana,AC
544393,Mara Rocha,AC
217798,Gladson Cameli,AC
609537,Gladson Cameli,AC
267196,Gladson Cameli,AC
670710,Petecão,AC
702955,Gladson Cameli,AC
460425,Mara Rocha,AC
866950,Nulo,AC
1159304,Jorge Viana,AC
1208701,Gladson Cameli,AC
1107196,Jorge Viana,AC
565250,Gladson Cameli,AC
394366,Gladson Cameli,AC
1046761,Jorge Viana,AC
1053207,Gladson Cameli,AC
386018,Gladson Cameli,AC
1136955,Gladson Cameli,AC
95646,Petecão,AC
357079,Gladson Cameli,AC
1054903,Gladson Cameli,AC
1084381,Gladson Cameli,AC
1320102,Gladson Cameli,AC
588357,Gladson Cameli,AC
1293248,Nulo,AC
36360,Nulo,AC
78927,Gladson Cameli,AC
118386,Gladson Cameli,AC
1175799,Gladson Cameli,AC
752677,Mara Rocha,AC
1333027,Gladson Cameli,AC
353889,Jorge Viana,AC
96652,Jorge Viana,AC
1039741,Gladson Cameli,AC
635160,Gladson Cameli,AC
957401,Nulo,AC
444149,Marcio Bittar,AC
720548,Branco,AC
403512,Jorge Viana,AC
