,nome,estado
475664,Marcos Rogerio,RO
981954,Marcos Rogerio,RO
817985,Marcos Rogerio,RO
963185,Coronel Marcos Rocha,RO
1356982,Coronel Marcos Rocha,RO
1064976,Coronel Marcos Rocha,RO
805263,Nulo,RO
294794,Léo Moraes,RO
1329579,Léo Moraes,RO
326801,Marcos Rogerio,RO
1376523,Léo Moraes,RO
334999,Coronel Marcos Rocha,RO
736667,Pimenta de Rondonia,RO
472248,Léo Moraes,RO
184457,Coronel Marcos Rocha,RO
120721,Marcos Rogerio,RO
554699,Marcos Rogerio,RO
598494,Marcos Rogerio,RO
916318,Coronel Marcos Rocha,RO
940732,Marcos Rogerio,RO
1329914,Marcos Rogerio,RO
69843,Marcos Rogerio,RO
804818,Coronel Marcos Rocha,RO
286982,Marcos Rogerio,RO
1183192,Coronel Marcos Rocha,RO
1318761,Marcos Rogerio,RO
292727,Léo Moraes,RO
1275426,Coronel Marcos Rocha,RO
957584,Coronel Marcos Rocha,RO
391557,Marcos Rogerio,RO
993702,Coronel Marcos Rocha,RO
486617,Coronel Marcos Rocha,RO
1049663,Coronel Marcos Rocha,RO
142321,Coronel Marcos Rocha,RO
125282,Coronel Marcos Rocha,RO
594993,Nulo,RO
954037,Nulo,RO
783501,Léo Moraes,RO
383416,Coronel Marcos Rocha,RO
515686,Coronel Marcos Rocha,RO
1337298,Coronel Marcos Rocha,RO
611270,Léo Moraes,RO
304459,Marcos Rogerio,RO
42859,Branco,RO
364042,Marcos Rogerio,RO
753418,Marcos Rogerio,RO
510363,Daniel Pereira,RO
504488,Coronel Marcos Rocha,RO
701386,Coronel Marcos Rocha,RO
413586,Coronel Marcos Rocha,RO
901390,Marcos Rogerio,RO
832880,Coronel Marcos Rocha,RO
525376,Coronel Marcos Rocha,RO
639410,Léo Moraes,RO
1042556,Léo Moraes,RO
433660,Daniel Pereira,RO
1117655,Daniel Pereira,RO
411961,Coronel Marcos Rocha,RO
143975,Marcos Rogerio,RO
1164876,Nulo,RO
1344159,Marcos Rogerio,RO
907614,Marcos Rogerio,RO
203249,Léo Moraes,RO
383865,Nulo,RO
752852,Léo Moraes,RO
1097542,Coronel Marcos Rocha,RO
166710,Coronel Marcos Rocha,RO
352081,Coronel Marcos Rocha,RO
153114,Coronel Marcos Rocha,RO
953523,Branco,RO
1255947,Coronel Marcos Rocha,RO
566275,Léo Moraes,RO
1134968,Coronel Marcos Rocha,RO
745424,Marcos Rogerio,RO
983505,Coronel Marcos Rocha,RO
275443,Marcos Rogerio,RO
1083985,Coronel Marcos Rocha,RO
717597,Daniel Pereira,RO
512731,Léo Moraes,RO
1108066,Coronel Marcos Rocha,RO
850217,Marcos Rogerio,RO
1177617,Nulo,RO
212496,Marcos Rogerio,RO
844233,Nulo,RO
235871,Daniel Pereira,RO
96828,Marcos Rogerio,RO
824667,Coronel Marcos Rocha,RO
326143,Daniel Pereira,RO
1380434,Coronel Marcos Rocha,RO
630164,Léo Moraes,RO
653203,Coronel Marcos Rocha,RO
814868,Marcos Rogerio,RO
1269103,Marcos Rogerio,RO
1157045,Coronel Marcos Rocha,RO
194458,Nulo,RO
283868,Marcos Rogerio,RO
1216145,Marcos Rogerio,RO
1169822,Coronel Marcos Rocha,RO
917559,Coronel Marcos Rocha,RO
240452,Nulo,RO
113687,Coronel Marcos Rocha,RO
728637,Marcos Rogerio,RO
135728,Marcos Rogerio,RO
307184,Coronel Marcos Rocha,RO
835639,Marcos Rogerio,RO
955558,Marcos Rogerio,RO
161503,Nulo,RO
392741,Léo Moraes,RO
818419,Daniel Pereira,RO
151492,Daniel Pereira,RO
1035455,Coronel Marcos Rocha,RO
1104786,Léo Moraes,RO
787371,Daniel Pereira,RO
755500,Coronel Marcos Rocha,RO
124536,Marcos Rogerio,RO
1372571,Marcos Rogerio,RO
641273,Branco,RO
764891,Nulo,RO
164175,Coronel Marcos Rocha,RO
214795,Coronel Marcos Rocha,RO
268235,Coronel Marcos Rocha,RO
30564,Coronel Marcos Rocha,RO
905221,Marcos Rogerio,RO
97744,Coronel Marcos Rocha,RO
905284,Marcos Rogerio,RO
124121,Daniel Pereira,RO
544170,Coronel Marcos Rocha,RO
54082,Marcos Rogerio,RO
1334289,Daniel Pereira,RO
197207,Marcos Rogerio,RO
339555,Marcos Rogerio,RO
938899,Marcos Rogerio,RO
1197436,Branco,RO
1278283,Coronel Marcos Rocha,RO
722151,Marcos Rogerio,RO
859405,Coronel Marcos Rocha,RO
630026,Coronel Marcos Rocha,RO
156895,Marcos Rogerio,RO
1190640,Coronel Marcos Rocha,RO
976707,Marcos Rogerio,RO
965992,Marcos Rogerio,RO
787886,Marcos Rogerio,RO
1331272,Léo Moraes,RO
169756,Marcos Rogerio,RO
1266,Coronel Marcos Rocha,RO
1020542,Coronel Marcos Rocha,RO
911273,Coronel Marcos Rocha,RO
58877,Coronel Marcos Rocha,RO
1037548,Marcos Rogerio,RO
40571,Marcos Rogerio,RO
731201,Marcos Rogerio,RO
549400,Marcos Rogerio,RO
1287553,Marcos Rogerio,RO
1127279,Nulo,RO
1247939,Marcos Rogerio,RO
622498,Marcos Rogerio,RO
565208,Léo Moraes,RO
415520,Marcos Rogerio,RO
323573,Marcos Rogerio,RO
1041136,Coronel Marcos Rocha,RO
1193665,Nulo,RO
162372,Léo Moraes,RO
353195,Coronel Marcos Rocha,RO
745415,Coronel Marcos Rocha,RO
502508,Coronel Marcos Rocha,RO
1346204,Daniel Pereira,RO
615571,Daniel Pereira,RO
761984,Daniel Pereira,RO
1042998,Coronel Marcos Rocha,RO
163236,Coronel Marcos Rocha,RO
881533,Nulo,RO
1029751,Branco,RO
905367,Léo Moraes,RO
140095,Coronel Marcos Rocha,RO
294031,Daniel Pereira,RO
171961,Daniel Pereira,RO
3019,Marcos Rogerio,RO
502488,Léo Moraes,RO
935871,Coronel Marcos Rocha,RO
229897,Léo Moraes,RO
370299,Marcos Rogerio,RO
586725,Léo Moraes,RO
899989,Coronel Marcos Rocha,RO
679040,Léo Moraes,RO
479894,Coronel Marcos Rocha,RO
1281229,Léo Moraes,RO
368121,Coronel Marcos Rocha,RO
562005,Coronel Marcos Rocha,RO
496793,Marcos Rogerio,RO
65119,Daniel Pereira,RO
746096,Nulo,RO
1272848,Nulo,RO
1029177,Marcos Rogerio,RO
1156569,Marcos Rogerio,RO
1235919,Léo Moraes,RO
1268101,Coronel Marcos Rocha,RO
1018531,Daniel Pereira,RO
396394,Marcos Rogerio,RO
104395,Marcos Rogerio,RO
1153903,Marcos Rogerio,RO
1092976,Marcos Rogerio,RO
228460,Marcos Rogerio,RO
831476,Nulo,RO
868517,Coronel Marcos Rocha,RO
98896,Marcos Rogerio,RO
48629,Marcos Rogerio,RO
675955,Coronel Marcos Rocha,RO
189166,Daniel Pereira,RO
861017,Coronel Marcos Rocha,RO
1197521,Daniel Pereira,RO
670239,Marcos Rogerio,RO
228761,Coronel Marcos Rocha,RO
998942,Marcos Rogerio,RO
189833,Marcos Rogerio,RO
63576,Marcos Rogerio,RO
935612,Coronel Marcos Rocha,RO
1254550,Marcos Rogerio,RO
803453,Marcos Rogerio,RO
711525,Coronel Marcos Rocha,RO
677496,Marcos Rogerio,RO
613909,Daniel Pereira,RO
119914,Coronel Marcos Rocha,RO
930370,Branco,RO
619585,Nulo,RO
1099710,Daniel Pereira,RO
1303309,Coronel Marcos Rocha,RO
541927,Coronel Marcos Rocha,RO
932881,Marcos Rogerio,RO
416639,Marcos Rogerio,RO
1169017,Léo Moraes,RO
787076,Marcos Rogerio,RO
1280242,Marcos Rogerio,RO
662835,Coronel Marcos Rocha,RO
976927,Coronel Marcos Rocha,RO
809073,Léo Moraes,RO
1362,Léo Moraes,RO
168996,Branco,RO
1365465,Coronel Marcos Rocha,RO
175582,Daniel Pereira,RO
947422,Nulo,RO
1166199,Coronel Marcos Rocha,RO
1206934,Coronel Marcos Rocha,RO
96335,Coronel Marcos Rocha,RO
1340557,Coronel Marcos Rocha,RO
968739,Nulo,RO
13290,Coronel Marcos Rocha,RO
61443,Daniel Pereira,RO
1221800,Marcos Rogerio,RO
437511,Léo Moraes,RO
1155918,Coronel Marcos Rocha,RO
1325645,Coronel Marcos Rocha,RO
200513,Léo Moraes,RO
1245718,Coronel Marcos Rocha,RO
1061738,Nulo,RO
234188,Marcos Rogerio,RO
264722,Marcos Rogerio,RO
319874,Coronel Marcos Rocha,RO
418462,Daniel Pereira,RO
966701,Léo Moraes,RO
502748,Coronel Marcos Rocha,RO
742623,Léo Moraes,RO
1199862,Coronel Marcos Rocha,RO
456528,Léo Moraes,RO
503460,Marcos Rogerio,RO
1365298,Marcos Rogerio,RO
1139756,Marcos Rogerio,RO
128035,Marcos Rogerio,RO
455715,Daniel Pereira,RO
674038,Marcos Rogerio,RO
520050,Léo Moraes,RO
96051,Coronel Marcos Rocha,RO
864674,Marcos Rogerio,RO
799905,Coronel Marcos Rocha,RO
590580,Coronel Marcos Rocha,RO
584390,Coronel Marcos Rocha,RO
168144,Coronel Marcos Rocha,RO
1358797,Branco,RO
1217,Nulo,RO
1142785,Marcos Rogerio,RO
872699,Léo Moraes,RO
413959,Marcos Rogerio,RO
871173,Marcos Rogerio,RO
1314662,Marcos Rogerio,RO
284369,Coronel Marcos Rocha,RO
833398,Coronel Marcos Rocha,RO
305743,Léo Moraes,RO
1149423,Marcos Rogerio,RO
522563,Coronel Marcos Rocha,RO
1236539,Marcos Rogerio,RO
1119502,Coronel Marcos Rocha,RO
1288315,Coronel Marcos Rocha,RO
827941,Marcos Rogerio,RO
690992,Coronel Marcos Rocha,RO
539260,Marcos Rogerio,RO
146969,Léo Moraes,RO
959088,Marcos Rogerio,RO
1373763,Léo Moraes,RO
394940,Marcos Rogerio,RO
1087651,Marcos Rogerio,RO
14120,Marcos Rogerio,RO
970894,Coronel Marcos Rocha,RO
229077,Coronel Marcos Rocha,RO
1205662,Coronel Marcos Rocha,RO
887593,Léo Moraes,RO
634976,Coronel Marcos Rocha,RO
927724,Nulo,RO
215026,Coronel Marcos Rocha,RO
581818,Coronel Marcos Rocha,RO
594522,Coronel Marcos Rocha,RO
257694,Marcos Rogerio,RO
739548,Coronel Marcos Rocha,RO
539384,Coronel Marcos Rocha,RO
519557,Marcos Rogerio,RO
1056571,Coronel Marcos Rocha,RO
1231917,Coronel Marcos Rocha,RO
475272,Marcos Rogerio,RO
1024880,Coronel Marcos Rocha,RO
265953,Coronel Marcos Rocha,RO
915420,Coronel Marcos Rocha,RO
1247157,Coronel Marcos Rocha,RO
752835,Coronel Marcos Rocha,RO
1289062,Coronel Marcos Rocha,RO
875108,Marcos Rogerio,RO
87450,Coronel Marcos Rocha,RO
716615,Marcos Rogerio,RO
776152,Léo Moraes,RO
400701,Marcos Rogerio,RO
45345,Coronel Marcos Rocha,RO
384663,Coronel Marcos Rocha,RO
523005,Coronel Marcos Rocha,RO
727437,Marcos Rogerio,RO
80348,Coronel Marcos Rocha,RO
167189,Léo Moraes,RO
821132,Coronel Marcos Rocha,RO
399777,Marcos Rogerio,RO
1309879,Marcos Rogerio,RO
210181,Marcos Rogerio,RO
635714,Léo Moraes,RO
