Unnamed: 0,nome,estado
665380,Jair Bolsonaro,AC
663074,Jair Bolsonaro,AC
123548,Jair Bolsonaro,AC
1271697,Lula,AC
193981,Soraya Thronicke,AC
511567,Jair Bolsonaro,AC
1198726,Jair Bolsonaro,AC
467696,Jair Bolsonaro,AC
517608,Lula,AC
627954,Jair Bolsonaro,AC
819329,Jair Bolsonaro,AC
846965,Jair Bolsonaro,AC
525749,Lula,AC
1060653,Jair Bolsonaro,AC
341890,Jair Bolsonaro,AC
1154763,Jair Bolsonaro,AC
304166,Lula,AC
393255,Ciro Gomes,AC
632939,Jair Bolsonaro,AC
1119092,Jair Bolsonaro,AC
968465,Jair Bolsonaro,AC
186560,Jair Bolsonaro,AC
270876,Lula,AC
64941,Lula,AC
868807,Jair Bolsonaro,AC
702530,Jair Bolsonaro,AC
1120115,Jair Bolsonaro,AC
1016674,Jair Bolsonaro,AC
948006,Jair Bolsonaro,AC
913194,Lula,AC
844663,Jair Bolsonaro,AC
1096389,Jair Bolsonaro,AC
71813,Nulo,AC
700707,Lula,AC
886132,Jair Bolsonaro,AC
909105,Ciro Gomes,AC
1046914,Jair Bolsonaro,AC
941693,Lula,AC
775134,Jair Bolsonaro,AC
171116,Lula,AC
293193,Lula,AC
825020,Jair Bolsonaro,AC
572227,Lula,AC
400005,Jair Bolsonaro,AC
852648,Lula,AC
897085,Jair Bolsonaro,AC
915307,Jair Bolsonaro,AC
1173614,Lula,AC
457795,Jair Bolsonaro,AC
1325944,Jair Bolsonaro,AC
175008,Lula,AC
1345524,Simone Tebet,AC
465141,Lula,AC
753793,Jair Bolsonaro,AC
510186,Jair Bolsonaro,AC
52753,Lula,AC
551869,Jair Bolsonaro,AC
389220,Lula,AC
938661,Lula,AC
1243581,Simone Tebet,AC
1267995,Jair Bolsonaro,AC
902116,Jair Bolsonaro,AC
782230,Simone Tebet,AC
629951,Lula,AC
1372105,Jair Bolsonaro,AC
222173,Jair Bolsonaro,AC
169665,Jair Bolsonaro,AC
284048,Jair Bolsonaro,AC
1343757,Ciro Gomes,AC
212727,Jair Bolsonaro,AC
1350919,Jair Bolsonaro,AC
1000899,Jair Bolsonaro,AC
797553,Lula,AC
1004675,Lula,AC
1309066,Jair Bolsonaro,AC
360630,Jair Bolsonaro,AC
149749,Jair Bolsonaro,AC
21048,Jair Bolsonaro,AC
1301951,Lula,AC
782355,Jair Bolsonaro,AC
816801,Jair Bolsonaro,AC
1183861,Lula,AC
1083319,Jair Bolsonaro,AC
24586,Jair Bolsonaro,AC
1047403,Jair Bolsonaro,AC
1333303,Jair Bolsonaro,AC
878253,Lula,AC
1099828,Lula,AC
1113412,Jair Bolsonaro,AC
837820,Soraya Thronicke,AC
20077,Lula,AC
238692,Jair Bolsonaro,AC
683187,Lula,AC
934327,Jair Bolsonaro,AC
1231955,Lula,AC
920622,Lula,AC
140675,Lula,AC
174314,Jair Bolsonaro,AC
983833,Jair Bolsonaro,AC
1142323,Jair Bolsonaro,AC
1219793,Lula,AC
1320959,Jair Bolsonaro,AC
554129,Lula,AC
282067,Jair Bolsonaro,AC
630060,Jair Bolsonaro,AC
247287,Simone Tebet,AC
160240,Jair Bolsonaro,AC
192432,Lula,AC
538612,Jair Bolsonaro,AC
458590,Jair Bolsonaro,AC
