,nome,estado
1338289,Nulo,AM
671394,Lula,AM
76644,Jair Bolsonaro,AM
913462,Jair Bolsonaro,AM
410833,Jair Bolsonaro,AM
27616,Lula,AM
96241,Lula,AM
568271,Jair Bolsonaro,AM
568540,Lula,AM
1661689,Lula,AM
2272680,Lula,AM
2225056,Lula,AM
1867774,Jair Bolsonaro,AM
1332313,Jair Bolsonaro,AM
837268,Lula,AM
2296807,Lula,AM
225937,Jair Bolsonaro,AM
2023438,Lula,AM
985029,Lula,AM
1674715,Lula,AM
1569851,Jair Bolsonaro,AM
2059884,Jair Bolsonaro,AM
1576108,Jair Bolsonaro,AM
864790,Lula,AM
1564969,Lula,AM
1082483,Lula,AM
558829,Jair Bolsonaro,AM
2052027,Jair Bolsonaro,AM
1679541,Jair Bolsonaro,AM
1783180,Lula,AM
64177,Lula,AM
554623,Jair Bolsonaro,AM
527313,Jair Bolsonaro,AM
2076540,Lula,AM
1381303,Nulo,AM
2261935,Lula,AM
1506842,Lula,AM
1846393,Lula,AM
2080533,Jair Bolsonaro,AM
2204729,Lula,AM
1412115,Lula,AM
1679032,Lula,AM
544465,Jair Bolsonaro,AM
1876241,Lula,AM
750411,Lula,AM
1422415,Lula,AM
1511090,Lula,AM
1539836,Lula,AM
1371917,Lula,AM
1974361,Jair Bolsonaro,AM
1369244,Jair Bolsonaro,AM
1578542,Lula,AM
1120714,Lula,AM
399741,Lula,AM
2086246,Jair Bolsonaro,AM
1793734,Jair Bolsonaro,AM
1191684,Jair Bolsonaro,AM
547086,Jair Bolsonaro,AM
1044875,Lula,AM
558500,Branco,AM
1304532,Nulo,AM
579532,Jair Bolsonaro,AM
1119052,Lula,AM
178046,Jair Bolsonaro,AM
1746658,Jair Bolsonaro,AM
1689477,Lula,AM
2315131,Lula,AM
1718644,Lula,AM
1500782,Lula,AM
413128,Jair Bolsonaro,AM
2160756,Lula,AM
1822421,Lula,AM
2158569,Lula,AM
1756264,Lula,AM
463084,Jair Bolsonaro,AM
1984401,Jair Bolsonaro,AM
329740,Lula,AM
33498,Lula,AM
80367,Lula,AM
495862,Jair Bolsonaro,AM
516059,Jair Bolsonaro,AM
2013839,Jair Bolsonaro,AM
2311668,Lula,AM
540886,Jair Bolsonaro,AM
2075465,Jair Bolsonaro,AM
