,nome,estado
243355,Jair Bolsonaro,AP
15648,Lula,AP
317119,Lula,AP
115525,Nulos,AP
287608,Jair Bolsonaro,AP
73787,Jair Bolsonaro,AP
152306,Nulos,AP
278308,Jair Bolsonaro,AP
39511,Lula,AP
388454,Lula,AP
385226,Jair Bolsonaro,AP
41585,Lula,AP
102541,Jair Bolsonaro,AP
320841,Lula,AP
254488,Lula,AP
270892,Jair Bolsonaro,AP
250263,Jair Bolsonaro,AP
50323,Lula,AP
66022,Lula,AP
64238,Lula,AP
292548,Jair Bolsonaro,AP
161147,Lula,AP
216649,Jair Bolsonaro,AP
24497,Jair Bolsonaro,AP
125817,Lula,AP
228799,Lula,AP
350042,Jair Bolsonaro,AP
113300,Jair Bolsonaro,AP
171266,Jair Bolsonaro,AP
10988,Jair Bolsonaro,AP
62337,Lula,AP
109404,Jair Bolsonaro,AP
22802,Jair Bolsonaro,AP
233838,Jair Bolsonaro,AP
311945,Jair Bolsonaro,AP
148013,Lula,AP
322518,Lula,AP
77696,Jair Bolsonaro,AP
395411,Jair Bolsonaro,AP
224256,Jair Bolsonaro,AP
234517,Jair Bolsonaro,AP
202902,Lula,AP
256032,Lula,AP
74751,Lula,AP
207634,Lula,AP
54131,Jair Bolsonaro,AP
273167,Jair Bolsonaro,AP
39088,Jair Bolsonaro,AP
44863,Lula,AP
34968,Lula,AP
256837,Lula,AP
110982,Lula,AP
191154,Lula,AP
7730,Jair Bolsonaro,AP
375622,Lula,AP
396491,Lula,AP
316043,Jair Bolsonaro,AP
243633,Jair Bolsonaro,AP
254191,Lula,AP
257968,Brancos,AP
64798,Jair Bolsonaro,AP
359113,Jair Bolsonaro,AP
273580,Jair Bolsonaro,AP
160594,Lula,AP
327966,Lula,AP
241811,Jair Bolsonaro,AP
346614,Jair Bolsonaro,AP
118787,Lula,AP
322611,Jair Bolsonaro,AP
13114,Lula,AP
317401,Lula,AP
177376,Lula,AP
280193,Jair Bolsonaro,AP
125235,Lula,AP
201712,Jair Bolsonaro,AP
78545,Lula,AP
212156,Lula,AP
234033,Lula,AP
360641,Lula,AP
153193,Lula,AP
26993,Jair Bolsonaro,AP
364441,Lula,AP
234987,Jair Bolsonaro,AP
281950,Lula,AP
309537,Jair Bolsonaro,AP
356515,Jair Bolsonaro,AP
183510,Lula,AP
238517,Jair Bolsonaro,AP
247208,Lula,AP
87184,Lula,AP
154025,Jair Bolsonaro,AP
14419,Jair Bolsonaro,AP
11232,Jair Bolsonaro,AP
254765,Lula,AP
10548,Jair Bolsonaro,AP
76997,Jair Bolsonaro,AP
84057,Lula,AP
288762,Jair Bolsonaro,AP
271051,Lula,AP
