,nome,estado
481502,Lula,PA
2310143,Nulo,PA
4849956,Lula,PA
3502747,Jair Bolsonaro,PA
5101725,Jair Bolsonaro,PA
788074,Lula,PA
3717096,Lula,PA
3154319,Lula,PA
2933740,Jair Bolsonaro,PA
3924611,Lula,PA
2127191,Lula,PA
1350664,Lula,PA
2544842,Jair Bolsonaro,PA
2946201,Jair Bolsonaro,PA
1445132,Jair Bolsonaro,PA
1777990,Lula,PA
1806140,Lula,PA
1809561,Jair Bolsonaro,PA
2227314,Lula,PA
1925638,Jair Bolsonaro,PA
4418937,Lula,PA
2323093,Jair Bolsonaro,PA
3700198,Lula,PA
1735978,Lula,PA
4100922,Jair Bolsonaro,PA
1827501,Lula,PA
1447036,Lula,PA
4009888,Lula,PA
435125,Lula,PA
3686451,Jair Bolsonaro,PA
3346728,Lula,PA
604985,Lula,PA
1098966,Lula,PA
2302187,Jair Bolsonaro,PA
3057603,Lula,PA
2846312,Jair Bolsonaro,PA
3460007,Jair Bolsonaro,PA
2890311,Lula,PA
1581397,Lula,PA
4547974,Lula,PA
4335862,Jair Bolsonaro,PA
1939022,Lula,PA
623844,Jair Bolsonaro,PA
486164,Jair Bolsonaro,PA
3858862,Lula,PA
5079551,Lula,PA
571323,Lula,PA
4400750,Lula,PA
3262775,Lula,PA
1855696,Jair Bolsonaro,PA
1181252,Jair Bolsonaro,PA
629495,Jair Bolsonaro,PA
2148003,Lula,PA
559990,Lula,PA
3120220,Jair Bolsonaro,PA
411741,Lula,PA
1162180,Jair Bolsonaro,PA
4116362,Lula,PA
2403816,Lula,PA
888698,Lula,PA
2331107,Jair Bolsonaro,PA
4862476,Lula,PA
1864697,Lula,PA
3204237,Branco,PA
3100204,Lula,PA
932881,Jair Bolsonaro,PA
4195472,Jair Bolsonaro,PA
3947566,Jair Bolsonaro,PA
1862655,Lula,PA
835731,Lula,PA
4481100,Lula,PA
1005832,Lula,PA
983925,Jair Bolsonaro,PA
3104767,Lula,PA
2801513,Lula,PA
2006044,Lula,PA
3470128,Lula,PA
1615213,Jair Bolsonaro,PA
2150688,Lula,PA
3608671,Jair Bolsonaro,PA
660805,Lula,PA
704532,Jair Bolsonaro,PA
1113162,Jair Bolsonaro,PA
697419,Lula,PA
4648257,Nulo,PA
3952699,Lula,PA
636754,Jair Bolsonaro,PA
4216161,Lula,PA
4674677,Jair Bolsonaro,PA
4501904,Jair Bolsonaro,PA
714030,Lula,PA
5082456,Jair Bolsonaro,PA
824703,Lula,PA
2118978,Jair Bolsonaro,PA
2408118,Lula,PA
1067398,Lula,PA
3195660,Jair Bolsonaro,PA
5044307,Lula,PA
1939070,Lula,PA
4642866,Jair Bolsonaro,PA
4745268,Lula,PA
1830057,Lula,PA
2445801,Jair Bolsonaro,PA
2360053,Lula,PA
1858560,Jair Bolsonaro,PA
1960122,Jair Bolsonaro,PA
4462820,Lula,PA
794811,Lula,PA
1208082,Lula,PA
2927976,Jair Bolsonaro,PA
1161890,Jair Bolsonaro,PA
1006719,Lula,PA
1510000,Lula,PA
1566346,Lula,PA
1598100,Lula,PA
2368505,Lula,PA
4591317,Jair Bolsonaro,PA
683758,Lula,PA
