,nome,estado
911215,Jair Bolsonaro,RO
762650,Branco,RO
763283,Lula,RO
940812,Jair Bolsonaro,RO
678554,Jair Bolsonaro,RO
793483,Lula,RO
433225,Lula,RO
479405,Jair Bolsonaro,RO
846806,Jair Bolsonaro,RO
1274916,Jair Bolsonaro,RO
316440,Jair Bolsonaro,RO
696890,Jair Bolsonaro,RO
43633,Lula,RO
1305003,Jair Bolsonaro,RO
1338621,Jair Bolsonaro,RO
38385,Jair Bolsonaro,RO
299287,Jair Bolsonaro,RO
307172,Jair Bolsonaro,RO
827538,Lula,RO
629418,Jair Bolsonaro,RO
1060775,Lula,RO
545459,Jair Bolsonaro,RO
88431,Jair Bolsonaro,RO
1128653,Branco,RO
1118625,Jair Bolsonaro,RO
943822,Jair Bolsonaro,RO
341026,Nulo,RO
894733,Jair Bolsonaro,RO
844440,Jair Bolsonaro,RO
267402,Branco,RO
188089,Jair Bolsonaro,RO
1303689,Lula,RO
1195044,Lula,RO
358431,Jair Bolsonaro,RO
1129595,Lula,RO
1300934,Jair Bolsonaro,RO
770453,Jair Bolsonaro,RO
888039,Jair Bolsonaro,RO
816598,Lula,RO
842151,Jair Bolsonaro,RO
1060864,Jair Bolsonaro,RO
363447,Lula,RO
693325,Lula,RO
724674,Jair Bolsonaro,RO
582736,Lula,RO
577301,Jair Bolsonaro,RO
498393,Jair Bolsonaro,RO
824062,Jair Bolsonaro,RO
206376,Jair Bolsonaro,RO
1289125,Jair Bolsonaro,RO
1296186,Lula,RO
884673,Lula,RO
453956,Jair Bolsonaro,RO
469128,Lula,RO
678838,Jair Bolsonaro,RO
392985,Jair Bolsonaro,RO
1328451,Jair Bolsonaro,RO
359827,Jair Bolsonaro,RO
214154,Jair Bolsonaro,RO
1301027,Lula,RO
861003,Jair Bolsonaro,RO
740270,Jair Bolsonaro,RO
680604,Jair Bolsonaro,RO
379990,Lula,RO
1208893,Lula,RO
1085069,Jair Bolsonaro,RO
790628,Jair Bolsonaro,RO
3755,Lula,RO
563488,Jair Bolsonaro,RO
130773,Lula,RO
1243510,Lula,RO
139258,Jair Bolsonaro,RO
117353,Jair Bolsonaro,RO
98368,Jair Bolsonaro,RO
148138,Jair Bolsonaro,RO
1130702,Lula,RO
189190,Jair Bolsonaro,RO
134897,Jair Bolsonaro,RO
234806,Lula,RO
384971,Jair Bolsonaro,RO
364874,Jair Bolsonaro,RO
910236,Lula,RO
282746,Lula,RO
754079,Jair Bolsonaro,RO
1108757,Jair Bolsonaro,RO
752655,Jair Bolsonaro,RO
186690,Lula,RO
1247781,Lula,RO
875679,Jair Bolsonaro,RO
682575,Jair Bolsonaro,RO
1145295,Jair Bolsonaro,RO
71283,Lula,RO
90925,Jair Bolsonaro,RO
40929,Lula,RO
784575,Lula,RO
434813,Jair Bolsonaro,RO
1059940,Nulo,RO
610215,Jair Bolsonaro,RO
245537,Lula,RO
733021,Jair Bolsonaro,RO
457076,Lula,RO
1043277,Jair Bolsonaro,RO
759689,Jair Bolsonaro,RO
447212,Lula,RO
1321915,Jair Bolsonaro,RO
276474,Jair Bolsonaro,RO
1023665,Jair Bolsonaro,RO
795013,Jair Bolsonaro,RO
539457,Jair Bolsonaro,RO
924488,Jair Bolsonaro,RO
253560,Lula,RO
460167,Jair Bolsonaro,RO
987083,Jair Bolsonaro,RO
1337579,Jair Bolsonaro,RO
