,nome,estado
2021235,Lula,RR
1132320,Jair Bolsonaro,RR
1145161,Jair Bolsonaro,RR
283695,Jair Bolsonaro,RR
777934,Jair Bolsonaro,RR
213404,Jair Bolsonaro,RR
1584285,Jair Bolsonaro,RR
1631065,Jair Bolsonaro,RR
1952731,Jair Bolsonaro,RR
1256297,Jair Bolsonaro,RR
1584752,Jair Bolsonaro,RR
1868963,Jair Bolsonaro,RR
1876616,Jair Bolsonaro,RR
1506497,Lula,RR
947431,Jair Bolsonaro,RR
196790,Jair Bolsonaro,RR
294267,Jair Bolsonaro,RR
1309615,Jair Bolsonaro,RR
600714,Jair Bolsonaro,RR
1453159,Jair Bolsonaro,RR
174376,Jair Bolsonaro,RR
2085480,Jair Bolsonaro,RR
1297314,Jair Bolsonaro,RR
447303,Jair Bolsonaro,RR
399522,Jair Bolsonaro,RR
1309869,Jair Bolsonaro,RR
1226009,Jair Bolsonaro,RR
1251375,Jair Bolsonaro,RR
585732,Jair Bolsonaro,RR
1824138,Jair Bolsonaro,RR
308583,Jair Bolsonaro,RR
1584565,Jair Bolsonaro,RR
885690,Jair Bolsonaro,RR
132827,Jair Bolsonaro,RR
139359,Jair Bolsonaro,RR
506547,Jair Bolsonaro,RR
702312,Jair Bolsonaro,RR
1903799,Jair Bolsonaro,RR
567494,Jair Bolsonaro,RR
1016199,Jair Bolsonaro,RR
461864,Jair Bolsonaro,RR
1548153,Lula,RR
1403685,Lula,RR
1325673,Jair Bolsonaro,RR
1782557,Jair Bolsonaro,RR
1974021,Lula,RR
1386354,Lula,RR
885618,Jair Bolsonaro,RR
1893353,Jair Bolsonaro,RR
1214159,Jair Bolsonaro,RR
1144803,Jair Bolsonaro,RR
635865,Nulo,RR
1865746,Lula,RR
226776,Jair Bolsonaro,RR
577291,Jair Bolsonaro,RR
1933066,Jair Bolsonaro,RR
1558685,Jair Bolsonaro,RR
554888,Jair Bolsonaro,RR
515062,Lula,RR
1103461,Jair Bolsonaro,RR
413861,Jair Bolsonaro,RR
749928,Jair Bolsonaro,RR
952716,Jair Bolsonaro,RR
2015959,Jair Bolsonaro,RR
2007646,Jair Bolsonaro,RR
778145,Jair Bolsonaro,RR
1903828,Jair Bolsonaro,RR
52308,Lula,RR
633592,Jair Bolsonaro,RR
1737111,Jair Bolsonaro,RR
577676,Nulo,RR
