,nome,estado
5188768,Lula,TO
5878607,Jair Bolsonaro,TO
5334738,Jair Bolsonaro,TO
5663837,Lula,TO
5853535,Branco,TO
5215144,Lula,TO
5801992,Lula,TO
5294053,Lula,TO
5473551,Lula,TO
5559633,Lula,TO
5611959,Lula,TO
5529554,Lula,TO
5151572,Lula,TO
5407127,Lula,TO
5895940,Lula,TO
5797295,Jair Bolsonaro,TO
5639912,Lula,TO
5381509,Jair Bolsonaro,TO
5121743,Lula,TO
5804797,Jair Bolsonaro,TO
5421860,Jair Bolsonaro,TO
5577884,Lula,TO
5913839,Lula,TO
5887514,Lula,TO
5896523,Lula,TO
5884777,Jair Bolsonaro,TO
5321901,Jair Bolsonaro,TO
5687892,Lula,TO
5707144,Jair Bolsonaro,TO
5247919,Jair Bolsonaro,TO
5924326,Lula,TO
5863250,Jair Bolsonaro,TO
5359994,Lula,TO
5533366,Jair Bolsonaro,TO
5111524,Jair Bolsonaro,TO
5442105,Jair Bolsonaro,TO
5537759,Jair Bolsonaro,TO
5195384,Lula,TO
5595439,Lula,TO
5361074,Lula,TO
5304194,Nulos,TO
5358400,Lula,TO
5470276,Jair Bolsonaro,TO
5437599,Jair Bolsonaro,TO
5241551,Jair Bolsonaro,TO
5462591,Lula,TO
5871164,Lula,TO
5731856,Lula,TO
5152675,Jair Bolsonaro,TO
5888200,Lula,TO
5185362,Lula,TO
5930508,Jair Bolsonaro,TO
5708066,Lula,TO
5282365,Lula,TO
5754007,Jair Bolsonaro,TO
5299337,Lula,TO
5325813,Jair Bolsonaro,TO
5426122,Jair Bolsonaro,TO
5181486,Lula,TO
5234964,Lula,TO
5899446,Lula,TO
5186186,Lula,TO
5914781,Jair Bolsonaro,TO
5554882,Jair Bolsonaro,TO
5559201,Lula,TO
5832887,Jair Bolsonaro,TO
5836034,Jair Bolsonaro,TO
5759493,Jair Bolsonaro,TO
5463392,Jair Bolsonaro,TO
5792944,Lula,TO
5613326,Jair Bolsonaro,TO
5260632,Jair Bolsonaro,TO
5700710,Lula,TO
5370501,Lula,TO
5371915,Jair Bolsonaro,TO
5764259,Jair Bolsonaro,TO
5664352,Lula,TO
5180561,Jair Bolsonaro,TO
5845144,Lula,TO
5292737,Lula,TO
5354756,Jair Bolsonaro,TO
5850627,Nulos,TO
5131453,Lula,TO
5400364,Lula,TO
5954098,Lula,TO
5840515,Jair Bolsonaro,TO
5953447,Lula,TO
5108658,Lula,TO
5513179,Jair Bolsonaro,TO
5945511,Jair Bolsonaro,TO
5111474,Nulos,TO
5587946,Jair Bolsonaro,TO
5402506,Nulos,TO
5532503,Jair Bolsonaro,TO
5104713,Jair Bolsonaro,TO
5118522,Lula,TO
5176253,Jair Bolsonaro,TO
5237164,Jair Bolsonaro,TO
5268756,Jair Bolsonaro,TO
5401492,Jair Bolsonaro,TO
5176077,Lula,TO
5783413,Jair Bolsonaro,TO
5229047,Lula,TO
5959916,Lula,TO
5960695,Lula,TO
5403378,Jair Bolsonaro,TO
5194728,Lula,TO
5187040,Lula,TO
5961465,Jair Bolsonaro,TO
5865622,Jair Bolsonaro,TO
5461485,Jair Bolsonaro,TO
5864025,Jair Bolsonaro,TO
5392926,Lula,TO
5172174,Jair Bolsonaro,TO
5509768,Lula,TO
5971914,Jair Bolsonaro,TO
5174871,Jair Bolsonaro,TO
5775758,Lula,TO
5163791,Lula,TO
5698445,Lula,TO
5873813,Lula,TO
5570374,Jair Bolsonaro,TO
5470551,Jair Bolsonaro,TO
5750059,Jair Bolsonaro,TO
5297889,Lula,TO
5306175,Lula,TO
5314290,Jair Bolsonaro,TO
5370473,Jair Bolsonaro,TO
5821364,Lula,TO
5895243,Lula,TO
5921567,Lula,TO
5561120,Jair Bolsonaro,TO
5610991,Lula,TO
5415789,Lula,TO
5416902,Jair Bolsonaro,TO
5876153,Jair Bolsonaro,TO
5600536,Jair Bolsonaro,TO
5865829,Lula,TO
5356931,Lula,TO
5910319,Lula,TO
5410413,Branco,TO
5305897,Jair Bolsonaro,TO
5121206,Lula,TO
5138509,Lula,TO
5518650,Nulos,TO
5354540,Lula,TO
5611294,Jair Bolsonaro,TO
5965751,Jair Bolsonaro,TO
5472221,Jair Bolsonaro,TO
5121385,Lula,TO
5202970,Lula,TO
5615876,Lula,TO
5526609,Lula,TO
5391077,Lula,TO
5499952,Jair Bolsonaro,TO
5836728,Jair Bolsonaro,TO
5755859,Lula,TO
5416805,Jair Bolsonaro,TO
5826010,Jair Bolsonaro,TO
5125103,Lula,TO
5528215,Lula,TO
5150564,Lula,TO
5499389,Jair Bolsonaro,TO
5469053,Jair Bolsonaro,TO
5617627,Lula,TO
5250680,Jair Bolsonaro,TO
