,nome,estado
40740,Dr. Jenilson Leite,AC
198256,Alan Rick,AC
483611,Nulo,AC
431665,Marcia Bittar,AC
1218575,Nazaré Araújo,AC
801166,Ney Amorim,AC
1267398,Alan Rick,AC
214706,Dr. Jenilson Leite,AC
1332989,Branco,AC
1335576,Alan Rick,AC
519751,Dr. Jenilson Leite,AC
178072,Nazaré Araújo,AC
952014,Alan Rick,AC
106465,Alan Rick,AC
469918,Alan Rick,AC
616779,Dr. Jenilson Leite,AC
164756,Branco,AC
614153,Alan Rick,AC
356817,Marcia Bittar,AC
1247508,Alan Rick,AC
412386,Ney Amorim,AC
1079161,Dr. Jenilson Leite,AC
1088732,Branco,AC
251193,Alan Rick,AC
1153113,Alan Rick,AC
58867,Alan Rick,AC
1290556,Ney Amorim,AC
500370,Ney Amorim,AC
1251936,Ney Amorim,AC
835445,Marcia Bittar,AC
66964,Ney Amorim,AC
217801,Nulo,AC
1334465,Dr. Jenilson Leite,AC
751010,Dr. Jenilson Leite,AC
153908,Alan Rick,AC
559422,Ney Amorim,AC
661326,Nazaré Araújo,AC
981741,Alan Rick,AC
594715,Nulo,AC
74037,Marcia Bittar,AC
708294,Alan Rick,AC
581802,Alan Rick,AC
1360867,Alan Rick,AC
263598,Alan Rick,AC
888824,Alan Rick,AC
1046481,Marcia Bittar,AC
336683,Nazaré Araújo,AC
1017791,Ney Amorim,AC
297501,Alan Rick,AC
956220,Marcia Bittar,AC
734218,Ney Amorim,AC
705122,Branco,AC
509483,Dr. Jenilson Leite,AC
1170483,Dr. Jenilson Leite,AC
1037584,Nulo,AC
907804,Alan Rick,AC
132533,Alan Rick,AC
1147560,Alan Rick,AC
177344,Marcia Bittar,AC
928019,Marcia Bittar,AC
1373519,Dr. Jenilson Leite,AC
741698,Nazaré Araújo,AC
930670,Alan Rick,AC
1267816,Dra. Vanda Milani,AC
946256,Alan Rick,AC
663018,Dr. Jenilson Leite,AC
118260,Marcia Bittar,AC
494506,Dr. Jenilson Leite,AC
441197,Branco,AC
404841,Alan Rick,AC
1101700,Nazaré Araújo,AC
102084,Ney Amorim,AC
1239573,Marcia Bittar,AC
624669,Alan Rick,AC
3312,Marcia Bittar,AC
1239134,Dr. Jenilson Leite,AC
646661,Nulo,AC
247624,Alan Rick,AC
1030759,Dr. Jenilson Leite,AC
780706,Marcia Bittar,AC
793026,Dr. Jenilson Leite,AC
584705,Dra. Vanda Milani,AC
824754,Alan Rick,AC
870396,Alan Rick,AC
359291,Ney Amorim,AC
1011262,Branco,AC
545878,Nulo,AC
1123394,Alan Rick,AC
1132390,Ney Amorim,AC
370711,Dr. Jenilson Leite,AC
1330147,Nazaré Araújo,AC
486918,Alan Rick,AC
390253,Ney Amorim,AC
43572,Nazaré Araújo,AC
1243002,Marcia Bittar,AC
328690,Branco,AC
887766,Nazaré Araújo,AC
966733,Dr. Jenilson Leite,AC
562579,Alan Rick,AC
915116,Nazaré Araújo,AC
190867,Alan Rick,AC
222069,Alan Rick,AC
639618,Ney Amorim,AC
1035331,Marcia Bittar,AC
1128588,Dr. Jenilson Leite,AC
469257,Nulo,AC
770560,Nazaré Araújo,AC
1205156,Nazaré Araújo,AC
1322208,Ney Amorim,AC
560237,Alan Rick,AC
1157711,Dra. Vanda Milani,AC
754657,Dra. Vanda Milani,AC
845383,Alan Rick,AC
698585,Marcia Bittar,AC
176279,Alan Rick,AC
163160,Nazaré Araújo,AC
656129,Nulo,AC
678773,Nazaré Araújo,AC
58673,Alan Rick,AC
716437,Dra. Vanda Milani,AC
7980,Nazaré Araújo,AC
624819,Dr. Jenilson Leite,AC
703781,Alan Rick,AC
263061,Marcia Bittar,AC
275716,Alan Rick,AC
1090887,Nulo,AC
1282856,Dr. Jenilson Leite,AC
1077409,Alan Rick,AC
491757,Ney Amorim,AC
343230,Marcia Bittar,AC
1315459,Ney Amorim,AC
1219725,Dr. Jenilson Leite,AC
512029,Alan Rick,AC
92381,Dr. Jenilson Leite,AC
868609,Nulo,AC
749917,Alan Rick,AC
1352468,Ney Amorim,AC
731842,Ney Amorim,AC
504933,Dra. Vanda Milani,AC
989902,Alan Rick,AC
30349,Marcia Bittar,AC
557085,Alan Rick,AC
392963,Branco,AC
503551,Marcia Bittar,AC
82911,Branco,AC
943147,Branco,AC
960095,Alan Rick,AC
985978,Nulo,AC
1333388,Dr. Jenilson Leite,AC
1047957,Branco,AC
926077,Branco,AC
1364547,Alan Rick,AC
1251804,Alan Rick,AC
1100156,Ney Amorim,AC
7655,Ney Amorim,AC
589953,Dr. Jenilson Leite,AC
944486,Dra. Vanda Milani,AC
83793,Alan Rick,AC
229943,Ney Amorim,AC
139029,Alan Rick,AC
10613,Marcia Bittar,AC
727524,Marcia Bittar,AC
242393,Alan Rick,AC
743118,Alan Rick,AC
1015606,Ney Amorim,AC
947076,Ney Amorim,AC
815936,Alan Rick,AC
135827,Nazaré Araújo,AC
1284471,Alan Rick,AC
120864,Marcia Bittar,AC
1378216,Dra. Vanda Milani,AC
307366,Dra. Vanda Milani,AC
1268398,Nazaré Araújo,AC
945983,Nulo,AC
1366940,Dra. Vanda Milani,AC
1231293,Nazaré Araújo,AC
283644,Marcia Bittar,AC
531389,Marcia Bittar,AC
285944,Nulo,AC
843226,Alan Rick,AC
201750,Alan Rick,AC
1153665,Dr. Jenilson Leite,AC
938186,Alan Rick,AC
1218470,Ney Amorim,AC
1353309,Alan Rick,AC
909916,Dr. Jenilson Leite,AC
889582,Nazaré Araújo,AC
1061124,Ney Amorim,AC
42125,Alan Rick,AC
281632,Alan Rick,AC
528578,Alan Rick,AC
1003953,Ney Amorim,AC
1114044,Dra. Vanda Milani,AC
822242,Branco,AC
712449,Alan Rick,AC
709189,Dr. Jenilson Leite,AC
387211,Branco,AC
221327,Marcia Bittar,AC
191180,Nazaré Araújo,AC
514462,Alan Rick,AC
117792,Ney Amorim,AC
