,nome,estado
777046,Mariana Carvalho,RO
972777,Mariana Carvalho,RO
859319,Mariana Carvalho,RO
707566,Jaime Bagattoli,RO
214999,Expedito Junior,RO
614134,Jaime Bagattoli,RO
457378,Nulo,RO
271037,Jaqueline Cassol,RO
119284,Jaqueline Cassol,RO
163772,Mariana Carvalho,RO
311364,Jaqueline Cassol,RO
905486,Jaime Bagattoli,RO
268237,Pastor Josinelio,RO
1202975,Jaqueline Cassol,RO
1171679,Jaime Bagattoli,RO
89571,Mariana Carvalho,RO
681401,Mariana Carvalho,RO
755360,Mariana Carvalho,RO
673007,Jaime Bagattoli,RO
872748,Mariana Carvalho,RO
223395,Mariana Carvalho,RO
1338791,Mariana Carvalho,RO
588555,Acir Gurgacz,RO
736216,Mariana Carvalho,RO
501581,Expedito Junior,RO
659218,Jaqueline Cassol,RO
1086616,Jaqueline Cassol,RO
1070268,Expedito Junior,RO
571533,Jaime Bagattoli,RO
800168,Mariana Carvalho,RO
1194390,Jaime Bagattoli,RO
957570,Branco,RO
1187294,Jaime Bagattoli,RO
900200,Jaime Bagattoli,RO
1223295,Jaime Bagattoli,RO
954946,Nulo,RO
1328075,Nulo,RO
508541,Jaime Bagattoli,RO
907619,Jaime Bagattoli,RO
877115,Branco,RO
1378109,Expedito Junior,RO
1180412,Jaqueline Cassol,RO
1114770,Mariana Carvalho,RO
899830,Acir Gurgacz,RO
779326,Mariana Carvalho,RO
543537,Nulo,RO
337126,Jaime Bagattoli,RO
1373527,Branco,RO
381542,Acir Gurgacz,RO
1079206,Branco,RO
491008,Mariana Carvalho,RO
345770,Acir Gurgacz,RO
794611,Branco,RO
1061327,Jaqueline Cassol,RO
123541,Jaime Bagattoli,RO
460766,Jaime Bagattoli,RO
981288,Jaime Bagattoli,RO
1253902,Branco,RO
421673,Jaqueline Cassol,RO
863728,Nulo,RO
1361937,Jaqueline Cassol,RO
493151,Mariana Carvalho,RO
123110,Jaime Bagattoli,RO
829714,Nulo,RO
543680,Jaime Bagattoli,RO
629203,Jaime Bagattoli,RO
984073,Jaime Bagattoli,RO
1120984,Jaime Bagattoli,RO
869075,Jaime Bagattoli,RO
1100036,Acir Gurgacz,RO
693669,Expedito Junior,RO
1163207,Jaqueline Cassol,RO
642638,Expedito Junior,RO
560022,Nulo,RO
574918,Jaime Bagattoli,RO
766428,Mariana Carvalho,RO
651173,Jaime Bagattoli,RO
467295,Jaime Bagattoli,RO
231319,Jaqueline Cassol,RO
607986,Jaime Bagattoli,RO
912647,Mariana Carvalho,RO
105737,Nulo,RO
933287,Mariana Carvalho,RO
298038,Nulo,RO
968761,Jaime Bagattoli,RO
1135,Mariana Carvalho,RO
681096,Acir Gurgacz,RO
156589,Jaime Bagattoli,RO
56005,Expedito Junior,RO
977701,Jaqueline Cassol,RO
1011803,Expedito Junior,RO
852026,Mariana Carvalho,RO
171465,Mariana Carvalho,RO
1331212,Expedito Junior,RO
1209036,Nulo,RO
383721,Mariana Carvalho,RO
1069001,Mariana Carvalho,RO
651109,Expedito Junior,RO
636467,Jaime Bagattoli,RO
925115,Nulo,RO
1242284,Jaime Bagattoli,RO
460887,Mariana Carvalho,RO
398182,Jaqueline Cassol,RO
920678,Jaime Bagattoli,RO
1314863,Nulo,RO
237101,Mariana Carvalho,RO
